claim_id,page,exact_public_claim,current_target,strongest_available_evidence,problem,recommended_classification,recommended_action
SITE-CLAIM-0001,active-directory-lab.html,This legacy route has been retired. The active portfolio now focuses on verified Microsoft 365 and Entra evidence.,,evidence-library/projects/microsoft-365-lab/entra-activity-proof-20260605-043730/sign-ins-recent.csv,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0005,active-directory-lab.html,This legacy page is no longer part of the active public proof surface.,projects.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0010,archive/pre-site-upgrade-20260602/active-directory-lab.html,Jeremy Fontenot Home Projects Proof Dashboard Resume Contact,archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html; archive/pre-site-upgrade-20260602/dashboard.html; archive/pre-site-upgrade-20260602/resume.html; archive/pre-site-upgrade-20260602/contact.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0025,archive/pre-site-upgrade-20260602/contact.html,Jeremy Fontenot Home Projects Proof Dashboard Resume Contact,archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html; archive/pre-site-upgrade-20260602/dashboard.html; archive/pre-site-upgrade-20260602/resume.html; archive/pre-site-upgrade-20260602/contact.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0029,archive/pre-site-upgrade-20260602/contact.html,"Recruiters, hiring managers, and IT leaders can start with the resume, then use the project and proof pages to review supporting work.",archive/pre-site-upgrade-20260602/assets/resume/jeremy-fontenot-resume.pdf; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Unsupported until link resolves,Fix or remove broken evidence link; then retest link resolution. Run sensitive-data review before any publication.
SITE-CLAIM-0030,archive/pre-site-upgrade-20260602/contact.html,"Download Resume Review Projects Open Proof Role Fit Recruiter-ready 01 Current focus Enterprise Service Desk, IT Support, and Microsoft 365 operations.",archive/pre-site-upgrade-20260602/assets/resume/jeremy-fontenot-resume.pdf; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html,artifacts/visual-review/current/visual-review-results.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Unsupported until link resolves,Fix or remove broken evidence link; then retest link resolution.
SITE-CLAIM-0031,archive/pre-site-upgrade-20260602/contact.html,"03 Review path Resume, proof documents, scripts, diagrams, and project pages are available for fast screening.",archive/pre-site-upgrade-20260602/assets/resume/jeremy-fontenot-resume.pdf; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Unsupported until link resolves,Fix or remove broken evidence link; then retest link resolution. Run sensitive-data review before any publication.
SITE-CLAIM-0034,archive/pre-site-upgrade-20260602/dashboard.html,Jeremy Fontenot Home Projects Proof Dashboard Resume Contact,archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html; archive/pre-site-upgrade-20260602/dashboard.html; archive/pre-site-upgrade-20260602/resume.html; archive/pre-site-upgrade-20260602/contact.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0036,archive/pre-site-upgrade-20260602/dashboard.html,Review Proof Library Repository health file Governance Tracked CI Validation Repository checks remain part of release readiness.,archive/pre-site-upgrade-20260602/proof.html; archive/pre-site-upgrade-20260602/artifacts/dashboard/repository-health.md,evidence/home-lab-backup-restore-validation-20260629.txt,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Unsupported until link resolves,Fix or remove broken evidence link; then retest link resolution.
SITE-CLAIM-0038,archive/pre-site-upgrade-20260602/dashboard.html,"LINK Proof Evidence paths Resume downloads, proof documents, diagrams, scripts, and public evidence links are treated as release blockers.",,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0048,archive/pre-site-upgrade-20260602/index.html,Open Proof Library,archive/pre-site-upgrade-20260602/proof.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0065,archive/pre-site-upgrade-20260602/index.html,"Certification badges are surfaced as supporting proof, not inflated experience.",,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0074,archive/pre-site-upgrade-20260602/index.html,Verify Supporting Proof,archive/pre-site-upgrade-20260602/proof.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0080,archive/pre-site-upgrade-20260602/infrastructure.html,Verified home lab and infrastructure operations experience aligned to systems administration progression.,,evidence/home-lab-backup-restore-validation-20260629.txt,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim."
SITE-CLAIM-0081,archive/pre-site-upgrade-20260602/infrastructure.html,Jeremy Fontenot Home Projects Proof Dashboard Resume Contact,archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html; archive/pre-site-upgrade-20260602/dashboard.html; archive/pre-site-upgrade-20260602/resume.html; archive/pre-site-upgrade-20260602/contact.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0083,archive/pre-site-upgrade-20260602/infrastructure.html,Infrastructure Experience Verified home lab and systems administration progression.,archive/pre-site-upgrade-20260602/evidence-library/proxmox/proxmox-host-evidence.md; archive/pre-site-upgrade-20260602/evidence-library/windows-server/windows-server-evidence.md; archive/pre-site-upgrade-20260602/network-segmentation.html,evidence/home-lab-backup-restore-validation-20260629.txt,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Unsupported until link resolves,Fix or remove broken evidence link; then retest link resolution.
SITE-CLAIM-0085,archive/pre-site-upgrade-20260602/infrastructure.html,Open Proxmox Evidence Windows Server Evidence Network Segmentation Infrastructure Map Verified,archive/pre-site-upgrade-20260602/evidence-library/proxmox/proxmox-host-evidence.md; archive/pre-site-upgrade-20260602/evidence-library/windows-server/windows-server-evidence.md; archive/pre-site-upgrade-20260602/network-segmentation.html,inventories/proxmox-inventory-20260626-010601.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Unsupported until link resolves,Fix or remove broken evidence link; then retest link resolution. Run sensitive-data review before any publication.
SITE-CLAIM-0087,archive/pre-site-upgrade-20260602/infrastructure.html,"Proxmox host evidence AD Windows Windows Server and AD Validated identity concepts, DNS, DHCP, authentication boundaries, and administration workflows.",archive/pre-site-upgrade-20260602/evidence-library/proxmox/proxmox-host-evidence.md; archive/pre-site-upgrade-20260602/evidence-library/windows-server/windows-server-evidence.md; archive/pre-site-upgrade-20260602/evidence-library/network/dhcp-dns-evidence.md; archive/pre-site-upgrade-20260602/evidence-library/network/firewall-rules-evidence.md; archive/pre-site-upgrade-20260602/evidence-library/vpn/vpn-configuration-evidence.md,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Unsupported until link resolves,Fix or remove broken evidence link; then retest link resolution. Run sensitive-data review before any publication.
SITE-CLAIM-0090,archive/pre-site-upgrade-20260602/microsoft-365-lab.html,"Verified historical Microsoft 365 tenant administration lab covering identity administration, user lifecycle, MFA concepts, and tenant operations validation.",,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0093,archive/pre-site-upgrade-20260602/microsoft-365-lab.html,Jeremy Fontenot Home Projects Proof Dashboard Resume Contact,archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html; archive/pre-site-upgrade-20260602/dashboard.html; archive/pre-site-upgrade-20260602/resume.html; archive/pre-site-upgrade-20260602/contact.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0096,archive/pre-site-upgrade-20260602/microsoft-365-lab.html,This project represents verified hands-on Microsoft 365 administration experience in a historical tenant environment.,,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0098,archive/pre-site-upgrade-20260602/microsoft-365-lab.html,Proof Library,archive/pre-site-upgrade-20260602/proof.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0111,archive/pre-site-upgrade-20260602/network-segmentation.html,Home Projects Proof Dashboard Resume Contact,archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html; archive/pre-site-upgrade-20260602/dashboard.html; archive/pre-site-upgrade-20260602/resume.html; archive/pre-site-upgrade-20260602/contact.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0115,archive/pre-site-upgrade-20260602/network-segmentation.html,"This project demonstrates firewall boundary planning, VLAN segmentation, DNS/DHCP placement, VPN concepts, Proxmox bridge mapping, switch port documentation, and validation methodology using verified home lab infrastructure.",,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0118,archive/pre-site-upgrade-20260602/network-segmentation.html,Segmentation Verified,,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0133,archive/pre-site-upgrade-20260602/powershell-automation.html,Jeremy Fontenot Home Projects Proof Dashboard Resume Contact,archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html; archive/pre-site-upgrade-20260602/dashboard.html; archive/pre-site-upgrade-20260602/resume.html; archive/pre-site-upgrade-20260602/contact.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0142,archive/pre-site-upgrade-20260602/projects.html,"Verified systems administration, infrastructure operations, Microsoft 365, Active Directory, networking, and PowerShell automation projects by Jeremy Fontenot.",,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0143,archive/pre-site-upgrade-20260602/projects.html,"Enterprise project portfolio showing verified infrastructure, Microsoft 365, Active Directory, pfSense, Proxmox, and PowerShell work.",,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0146,archive/pre-site-upgrade-20260602/projects.html,"Validated Skills Microsoft 365, Active Directory, Networking, PowerShell, and Virtualization.",,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0155,archive/pre-site-upgrade-20260602/projects.html,"Skills Validated: Virtualization, resource planning, infrastructure management, service boundaries, and operational documentation.",,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0163,archive/pre-site-upgrade-20260602/projects.html,"Skills Validated: DNS, DHCP, Group Policy, user administration, authentication concepts, and change documentation.",,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0170,archive/pre-site-upgrade-20260602/projects.html,"Skills Validated: Identity administration, MFA concepts, account lifecycle management, Entra ID, and Microsoft 365 support context.",,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0179,archive/pre-site-upgrade-20260602/projects.html,"Skills Validated: Firewall administration, VPN concepts, network segmentation, DNS/DHCP review, and troubleshooting methodology.",,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0186,archive/pre-site-upgrade-20260602/projects.html,"Skills Validated: Automation, operational efficiency, repeatability, validation context, and documentation discipline.",,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0188,archive/pre-site-upgrade-20260602/projects.html,"The home lab centers on verified infrastructure components and support workflows: internet edge access, pfSense routing and firewalling, D-Link switching, Dell R710 compute, Proxmox virtualization, Windows Server services, Active Directory, DNS, DHCP, VPN access, and network monitoring concepts.",,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0199,archive/pre-site-upgrade-20260602/projects.html,Skills Validated,,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0213,archive/pre-site-upgrade-20260602/projects.html,"Start with the infrastructure work, then verify the proof.",,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0214,archive/pre-site-upgrade-20260602/projects.html,Open Proof Library,archive/pre-site-upgrade-20260602/proof.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0218,archive/pre-site-upgrade-20260602/projects.html,Proof Library,archive/pre-site-upgrade-20260602/proof.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0223,archive/pre-site-upgrade-20260602/proof.html,https://jeremyfontenot.online/proof.html,,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0224,archive/pre-site-upgrade-20260602/proof.html,Technical Proof Center,,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0229,archive/pre-site-upgrade-20260602/proof.html,Proof grouped by the capabilities IT teams screen for.,,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0255,archive/pre-site-upgrade-20260602/proof.html,Microsoft 365 Skills Validated,,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0259,archive/pre-site-upgrade-20260602/proof.html,Active Directory Skills Validated,,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0267,archive/pre-site-upgrade-20260602/proof.html,Concepts validated,,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0270,archive/pre-site-upgrade-20260602/proof.html,Home lab network proof files reviewers can open.,,evidence/home-lab-backup-restore-validation-20260629.txt,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim."
SITE-CLAIM-0271,archive/pre-site-upgrade-20260602/proof.html,These Markdown files are the proof artifacts behind the validation checklist.,,evidence/home-lab-backup-restore-validation-20260629.txt,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim."
SITE-CLAIM-0292,archive/pre-site-upgrade-20260602/proof.html,Proof Mapping,,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0293,archive/pre-site-upgrade-20260602/proof.html,Primary proof path,,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
